scale,event_type,instance_seed,budget_sec,best_algorithm,best_objective,best_status
L,breakdown,42,0.1,B-CORE,157.391420,solved
L,breakdown,42,0.5,B-CORE,157.391420,solved
L,breakdown,42,1.0,B-CORE,157.391420,solved
L,breakdown,42,10.0,B-CORE,157.391420,solved
L,breakdown,42,5.0,B-CORE,157.391420,solved
L,breakdown,43,0.1,B-CORE,148.770709,solved
L,breakdown,43,0.5,B-CORE,148.770709,solved
L,breakdown,43,1.0,B-CORE,148.770709,solved
L,breakdown,43,10.0,B-CORE,148.770709,solved
L,breakdown,43,5.0,B-CORE,148.770709,solved
L,breakdown,44,0.1,B-CORE,149.947894,solved
L,breakdown,44,0.5,B-CORE,149.947894,solved
L,breakdown,44,1.0,B-CORE,149.947894,solved
L,breakdown,44,10.0,B-CORE,149.947894,solved
L,breakdown,44,5.0,B-CORE,149.947894,solved
L,breakdown,45,0.1,B-CORE,170.287718,solved
L,breakdown,45,0.5,B-CORE,170.287718,solved
L,breakdown,45,1.0,B-CORE,170.287718,solved
L,breakdown,45,10.0,B-CORE,170.287718,solved
L,breakdown,45,5.0,B-CORE,170.287718,solved
L,breakdown,46,0.1,B-CORE,146.363584,solved
L,breakdown,46,0.5,B-CORE,146.363584,solved
L,breakdown,46,1.0,B-CORE,146.363584,solved
L,breakdown,46,10.0,B-CORE,146.363584,solved
L,breakdown,46,5.0,B-CORE,146.363584,solved
L,mixed,42,0.1,B-CORE,147.699705,solved
L,mixed,42,0.5,B-CORE,147.699705,solved
L,mixed,42,1.0,B-CORE,147.699705,solved
L,mixed,42,10.0,B-CORE,147.699705,solved
L,mixed,42,5.0,B-CORE,147.699705,solved
L,mixed,43,0.1,B-CORE,159.394990,solved
L,mixed,43,0.5,B-CORE,159.394990,solved
L,mixed,43,1.0,B-CORE,159.394990,solved
L,mixed,43,10.0,B-CORE,159.394990,solved
L,mixed,43,5.0,B-CORE,159.394990,solved
L,mixed,44,0.1,B-CORE,148.475414,solved
L,mixed,44,0.5,B-CORE,148.475414,solved
L,mixed,44,1.0,B-CORE,148.475414,solved
L,mixed,44,10.0,B-CORE,148.475414,solved
L,mixed,44,5.0,B-CORE,148.475414,solved
L,mixed,45,0.1,B-CORE,161.132153,solved
L,mixed,45,0.5,B-CORE,161.132153,solved
L,mixed,45,1.0,B-CORE,161.132153,solved
L,mixed,45,10.0,B-CORE,161.132153,solved
L,mixed,45,5.0,B-CORE,161.132153,solved
L,mixed,46,0.1,B-CORE,149.750241,solved
L,mixed,46,0.5,B-CORE,149.750241,solved
L,mixed,46,1.0,B-CORE,149.750241,solved
L,mixed,46,10.0,B-CORE,149.750241,solved
L,mixed,46,5.0,B-CORE,149.750241,solved
L,rush_job,42,0.1,B-CORE-no-graph,149.108961,solved
L,rush_job,42,0.5,B-CORE,149.108961,solved
L,rush_job,42,1.0,B-CORE,149.108961,solved
L,rush_job,42,10.0,B-CORE,149.108961,solved
L,rush_job,42,5.0,B-CORE,149.108961,solved
L,rush_job,43,0.1,B-CORE,153.875131,solved
L,rush_job,43,0.5,B-CORE,153.875131,solved
L,rush_job,43,1.0,B-CORE,153.875131,solved
L,rush_job,43,10.0,B-CORE,153.875131,solved
L,rush_job,43,5.0,B-CORE,153.875131,solved
L,rush_job,44,0.1,B-CORE,154.354225,solved
L,rush_job,44,0.5,B-CORE,154.354225,solved
L,rush_job,44,1.0,B-CORE,154.354225,solved
L,rush_job,44,10.0,B-CORE,154.354225,solved
L,rush_job,44,5.0,B-CORE,154.354225,solved
L,rush_job,45,0.1,B-CORE-no-bottleneck,164.216131,solved
L,rush_job,45,0.5,B-CORE-no-bottleneck,164.216131,solved
L,rush_job,45,1.0,B-CORE-no-bottleneck,164.216131,solved
L,rush_job,45,10.0,B-CORE-no-bottleneck,164.216131,solved
L,rush_job,45,5.0,B-CORE-no-bottleneck,164.216131,solved
L,rush_job,46,0.1,B-CORE,160.576360,solved
L,rush_job,46,0.5,B-CORE,160.576360,solved
L,rush_job,46,1.0,B-CORE,160.576360,solved
L,rush_job,46,10.0,B-CORE,160.576360,solved
L,rush_job,46,5.0,B-CORE,160.576360,solved
M,breakdown,42,0.1,B-CORE,77.843280,solved
M,breakdown,42,0.5,B-CORE,77.843280,solved
M,breakdown,42,1.0,B-CORE,77.843280,solved
