budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
0.1,B-CORE,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000346
0.1,B-CORE-no-bottleneck,45,1.000000,99.781367,49.270947,75.586466,99.781367,49.270947,0.000359
0.1,B-CORE-no-graph,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000463
0.1,DCGA,45,1.000000,125.932834,75.753490,97.036920,125.932834,75.753490,0.127649
0.1,GA,45,1.000000,128.021852,76.991947,98.969494,128.021852,76.991947,0.127815
0.1,LNS,45,1.000000,130.300594,79.035499,99.269104,130.300594,79.035499,0.127832
0.1,MOEA-NSGA2,45,1.000000,121.293734,71.092855,94.730427,121.293734,71.092855,0.452791
0.1,MOR,45,1.000000,120.480366,61.762529,99.273012,120.480366,61.762529,0.000013
0.1,MachineRank,45,1.000000,119.332869,66.510247,90.063806,119.332869,66.510247,0.000146
0.1,SA,45,1.000000,130.018349,76.947854,98.476906,130.018349,76.947854,0.126890
0.5,B-CORE,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000361
0.5,B-CORE-no-bottleneck,45,1.000000,99.781367,49.270947,75.586466,99.781367,49.270947,0.000354
0.5,B-CORE-no-graph,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000348
0.5,DCGA,45,1.000000,118.386864,74.017725,91.297508,118.386864,74.017725,0.526739
0.5,GA,45,1.000000,118.773682,72.763380,88.506646,118.773682,72.763380,0.522775
0.5,LNS,45,1.000000,121.491823,75.985777,86.337938,121.491823,75.985777,0.525077
0.5,MOEA-NSGA2,45,1.000000,118.710330,72.702119,90.102538,118.710330,72.702119,0.670716
0.5,MOR,45,1.000000,120.480366,61.762529,99.273012,120.480366,61.762529,0.000012
0.5,MachineRank,45,1.000000,119.332869,66.510247,90.063806,119.332869,66.510247,0.000140
0.5,SA,45,1.000000,124.345148,76.244656,93.057059,124.345148,76.244656,0.527655
1.0,B-CORE,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000347
1.0,B-CORE-no-bottleneck,45,1.000000,99.781367,49.270947,75.586466,99.781367,49.270947,0.000350
1.0,B-CORE-no-graph,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000356
1.0,DCGA,45,1.000000,114.385274,73.029116,84.477439,114.385274,73.029116,1.027489
1.0,GA,45,1.000000,116.441749,73.861099,83.088602,116.441749,73.861099,1.027257
1.0,LNS,45,1.000000,118.252564,74.929272,86.337938,118.252564,74.929272,1.025726
1.0,MOEA-NSGA2,45,1.000000,115.995047,73.229273,84.202249,115.995047,73.229273,1.031319
1.0,MOR,45,1.000000,120.480366,61.762529,99.273012,120.480366,61.762529,0.000012
1.0,MachineRank,45,1.000000,119.332869,66.510247,90.063806,119.332869,66.510247,0.000135
1.0,SA,45,1.000000,121.415547,75.682926,90.943471,121.415547,75.682926,1.029548
10.0,B-CORE,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000359
10.0,B-CORE-no-bottleneck,45,1.000000,99.781367,49.270947,75.586466,99.781367,49.270947,0.000337
10.0,B-CORE-no-graph,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000352
10.0,DCGA,45,1.000000,103.519743,65.528876,71.335369,103.519743,65.528876,10.021267
10.0,GA,45,1.000000,103.770945,65.082015,70.707647,103.770945,65.082015,10.022749
10.0,LNS,45,1.000000,107.949114,67.445757,76.388291,107.949114,67.445757,7.373223
10.0,MOEA-NSGA2,45,1.000000,104.759063,66.053807,73.096250,104.759063,66.053807,10.024584
10.0,MOR,45,1.000000,120.480366,61.762529,99.273012,120.480366,61.762529,0.000012
10.0,MachineRank,45,1.000000,119.332869,66.510247,90.063806,119.332869,66.510247,0.000146
10.0,SA,45,1.000000,112.796166,70.464578,80.593930,112.796166,70.464578,7.375414
5.0,B-CORE,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000350
5.0,B-CORE-no-bottleneck,45,1.000000,99.781367,49.270947,75.586466,99.781367,49.270947,0.000343
5.0,B-CORE-no-graph,45,1.000000,94.906135,44.670056,76.477507,94.906135,44.670056,0.000352
5.0,DCGA,45,1.000000,106.518815,66.736945,73.736524,106.518815,66.736945,5.023516
5.0,GA,45,1.000000,107.130002,67.078130,77.317209,107.130002,67.078130,5.023741
5.0,LNS,45,1.000000,110.386318,69.624479,80.064044,110.386318,69.624479,4.277277
5.0,MOEA-NSGA2,45,1.000000,107.561844,67.315700,77.769470,107.561844,67.315700,5.024407
5.0,MOR,45,1.000000,120.480366,61.762529,99.273012,120.480366,61.762529,0.000013
5.0,MachineRank,45,1.000000,119.332869,66.510247,90.063806,119.332869,66.510247,0.000139
5.0,SA,45,1.000000,116.540578,73.254042,86.386296,116.540578,73.254042,4.255906
