event_type,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
breakdown,B-CORE,75,1.000000,94.338905,45.093614,77.843280,94.338905,45.093614,0.000348
breakdown,B-CORE-no-bottleneck,75,1.000000,100.218461,49.086770,77.279019,100.218461,49.086770,0.000336
breakdown,B-CORE-no-graph,75,1.000000,94.338905,45.093614,77.843280,94.338905,45.093614,0.000354
breakdown,DCGA,75,1.000000,113.757382,71.585395,82.460403,113.757382,71.585395,3.345960
breakdown,GA,75,1.000000,113.806847,70.363612,83.167328,113.806847,70.363612,3.345570
breakdown,LNS,75,1.000000,117.532726,73.749009,85.375493,117.532726,73.749009,2.674288
breakdown,MOEA-NSGA2,75,1.000000,112.834715,69.807407,84.256267,112.834715,69.807407,3.445319
breakdown,MOR,75,1.000000,116.964224,55.120110,99.273012,116.964224,55.120110,0.000012
breakdown,MachineRank,75,1.000000,118.849453,64.611454,91.939054,118.849453,64.611454,0.000139
breakdown,SA,75,1.000000,118.766507,71.822000,91.252144,118.766507,71.822000,2.675168
mixed,B-CORE,75,1.000000,95.401957,42.663241,77.839603,95.401957,42.663241,0.000352
mixed,B-CORE-no-bottleneck,75,1.000000,99.466301,48.883564,75.528266,99.466301,48.883564,0.000356
mixed,B-CORE-no-graph,75,1.000000,95.401957,42.663241,77.839603,95.401957,42.663241,0.000409
mixed,DCGA,75,1.000000,113.757000,69.847623,77.067318,113.757000,69.847623,3.345806
mixed,GA,75,1.000000,116.098923,71.949515,83.088602,116.098923,71.949515,3.345469
mixed,LNS,75,1.000000,118.284434,72.974499,83.072054,118.284434,72.974499,2.677180
mixed,MOEA-NSGA2,75,1.000000,115.818724,71.374542,81.735936,115.818724,71.374542,3.442143
mixed,MOR,75,1.000000,121.361025,62.101280,100.122255,121.361025,62.101280,0.000013
mixed,MachineRank,75,1.000000,118.775129,65.388750,87.874390,118.775129,65.388750,0.000145
mixed,SA,75,1.000000,121.052762,72.021267,89.270458,121.052762,72.021267,2.681809
rush_job,B-CORE,75,1.000000,94.977544,45.586675,75.999835,94.977544,45.586675,0.000358
rush_job,B-CORE-no-bottleneck,75,1.000000,99.659340,49.171577,75.504564,99.659340,49.171577,0.000354
rush_job,B-CORE-no-graph,75,1.000000,94.977544,45.586675,75.999835,94.977544,45.586675,0.000360
rush_job,DCGA,75,1.000000,113.731735,72.374737,77.467004,113.731735,72.374737,3.344230
rush_job,GA,75,1.000000,114.577169,72.160387,80.393559,114.577169,72.160387,3.343564
rush_job,LNS,75,1.000000,117.211088,74.186974,80.064044,117.211088,74.186974,2.646013
rush_job,MOEA-NSGA2,75,1.000000,112.338571,69.105812,83.115376,112.338571,69.105812,3.434828
rush_job,MOR,75,1.000000,123.115849,66.525038,91.001036,123.115849,66.525038,0.000013
rush_job,MachineRank,75,1.000000,120.374026,68.551458,92.247902,120.374026,68.551458,0.000139
rush_job,SA,75,1.000000,123.250205,79.244063,83.142563,123.250205,79.244063,2.632271
