scale,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
L,B-CORE,75,1.000000,154.878923,7.110022,153.875131,154.878923,7.110022,0.000505
L,B-CORE-no-bottleneck,75,1.000000,166.626177,7.064444,167.056539,166.626177,7.064444,0.000517
L,B-CORE-no-graph,75,1.000000,154.878923,7.110022,153.875131,154.878923,7.110022,0.000502
L,DCGA,75,1.000000,210.425960,17.863631,209.178600,210.425960,17.863631,3.381259
L,GA,75,1.000000,211.597911,17.397932,211.533325,211.597911,17.397932,3.378110
L,LNS,75,1.000000,217.587908,17.261819,217.388289,217.587908,17.261819,3.380364
L,MOEA-NSGA2,75,1.000000,208.949848,13.940793,208.970969,208.949848,13.940793,3.642129
L,MOR,75,1.000000,202.627459,17.830792,199.586105,202.627459,17.830792,0.000019
L,MachineRank,75,1.000000,209.237908,15.691472,205.552260,209.237908,15.691472,0.000249
L,SA,75,1.000000,221.391141,19.748217,220.472412,221.391141,19.748217,3.382533
M,B-CORE,75,1.000000,77.355898,6.501571,76.477507,77.355898,6.501571,0.000311
M,B-CORE-no-bottleneck,75,1.000000,77.769921,5.111336,75.586466,77.769921,5.111336,0.000302
M,B-CORE-no-graph,75,1.000000,77.355898,6.501571,76.477507,77.355898,6.501571,0.000386
M,DCGA,75,1.000000,81.066824,12.562117,80.523521,81.066824,12.562117,3.333150
M,GA,75,1.000000,83.675748,11.661004,82.829081,83.675748,11.661004,3.333269
M,LNS,75,1.000000,84.668371,11.466343,83.536560,84.668371,11.466343,3.195889
M,MOEA-NSGA2,75,1.000000,82.935236,10.283124,82.344926,82.935236,10.283124,3.356178
M,MOR,75,1.000000,97.599063,6.426691,99.273012,97.599063,6.426691,0.000010
M,MachineRank,75,1.000000,90.298672,7.098948,90.063806,90.298672,7.098948,0.000113
M,SA,75,1.000000,89.341373,12.269182,89.270458,89.341373,12.269182,3.193568
S,B-CORE,75,1.000000,52.483584,7.614650,49.701893,52.483584,7.614650,0.000242
S,B-CORE-no-bottleneck,75,1.000000,54.948004,9.185900,54.335921,54.948004,9.185900,0.000227
S,B-CORE-no-graph,75,1.000000,52.483584,7.614650,49.701893,52.483584,7.614650,0.000235
S,DCGA,75,1.000000,49.753334,7.632856,46.436520,49.753334,7.632856,3.321588
S,GA,75,1.000000,49.209280,7.774352,47.084245,49.209280,7.774352,3.323223
S,LNS,75,1.000000,50.771968,8.995412,48.986375,50.771968,8.995412,1.421229
S,MOEA-NSGA2,75,1.000000,49.106926,8.189509,46.400073,49.106926,8.189509,3.323983
S,MOR,75,1.000000,61.214575,7.185285,63.299478,61.214575,7.185285,0.000009
S,MachineRank,75,1.000000,58.462028,7.267280,58.941324,58.462028,7.267280,0.000062
S,SA,75,1.000000,52.336960,9.275634,50.544529,52.336960,9.275634,1.413146
