experiment_id,timestamp,instance_id,scale,event_type,instance_seed,dynamic_seed,algorithm_seed,budget_sec,algorithm,status,error_message,runtime_sec,makespan,objective,total_agv_travel,loaded_travel,empty_travel,empty_travel_ratio,machine_waiting_for_agv,queue_wait,total_runtime_sec,mean_event_latency,p50_event_latency,p95_event_latency,p99_event_latency,max_event_latency,budget_violation_rate,timeout_count,feasible,gap_to_best_pct,rank_in_setting,notes
fair|S|breakdown|42|0.1|B-CORE-no-graph,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,B-CORE-no-graph,solved,,0.011977,48.026998,48.026998,230.896724,146.934072,83.962651,0.363637,6.477476,6.477476,0.011987,0.000155,0.000155,0.000158,0.000158,0.000158,0.000000,0,true,0.000000,1,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|B-CORE,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,B-CORE,solved,,0.012692,48.026998,48.026998,230.896724,146.934072,83.962651,0.363637,6.477476,6.477476,0.012702,0.000161,0.000161,0.000164,0.000165,0.000165,0.000000,0,true,0.000000,2,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|MOEA-NSGA2,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,MOEA-NSGA2,solved,,0.312846,48.047524,48.047524,239.887741,151.901209,87.986533,0.366782,7.376447,7.376447,0.312854,0.103198,0.103198,0.104555,0.104676,0.104706,1.000000,3,true,0.042738,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|LNS,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,LNS,solved,,0.314012,48.047524,48.047524,239.887741,151.901209,87.986533,0.366782,7.376447,7.376447,0.314020,0.102899,0.102899,0.102932,0.102935,0.102936,1.000000,3,true,0.042738,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|B-CORE-no-bottleneck,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,B-CORE-no-bottleneck,solved,,0.013158,49.047524,49.047524,228.902563,144.830141,84.072422,0.367285,8.002066,8.002066,0.013201,0.000157,0.000157,0.000163,0.000163,0.000163,0.000000,0,true,2.124901,5,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|GA,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,GA,solved,,0.312809,51.159449,51.159449,255.745606,154.863005,100.882601,0.394465,7.821856,7.821856,0.312819,0.102313,0.102313,0.103670,0.103791,0.103821,1.000000,3,true,6.522271,6,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|DCGA,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,DCGA,solved,,0.314394,51.561316,51.561316,247.783810,149.863005,97.920805,0.395186,7.447523,7.447523,0.314403,0.102388,0.102388,0.103386,0.103475,0.103497,1.000000,3,true,7.359023,7,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|SA,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,SA,solved,,0.309929,52.680970,52.680970,260.210217,153.114412,107.095805,0.411574,7.566609,7.566609,0.309937,0.100612,0.100612,0.100835,0.100855,0.100860,1.000000,3,true,9.690325,8,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|MachineRank,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,MachineRank,solved,,0.009397,56.730517,56.730517,266.958809,151.901209,115.057600,0.430994,8.071948,8.071948,0.009405,0.000035,0.000035,0.000052,0.000054,0.000054,0.000000,0,true,18.122138,9,objective equals makespan; due-date/tardiness fields are not available in this instance format
fair|S|breakdown|42|0.1|MOR,2026-06-03T14:41:58,S_breakdown_seed42,S,breakdown,42,30042,30042,0.1,MOR,solved,,0.006356,64.205767,64.205767,282.443582,166.332957,116.110626,0.411093,8.413726,8.413726,0.006364,0.000006,0.000006,0.000006,0.000006,0.000006,0.000000,0,true,33.686821,10,objective equals makespan; due-date/tardiness fields are not available in this instance format
