scale,event_type,budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
L,breakdown,0.1,B-CORE,5,1.000000,154.552265,9.712703,149.947894,154.552265,9.712703,0.000514
L,breakdown,0.1,B-CORE-no-bottleneck,5,1.000000,166.438735,9.452381,169.065726,166.438735,9.452381,0.000509
L,breakdown,0.1,B-CORE-no-graph,5,1.000000,154.552265,9.712703,149.947894,154.552265,9.712703,0.000567
L,breakdown,0.1,DCGA,5,1.000000,230.343909,15.508822,225.034805,230.343909,15.508822,0.171599
L,breakdown,0.1,GA,5,1.000000,226.607474,12.495829,224.099162,226.607474,12.495829,0.172316
L,breakdown,0.1,LNS,5,1.000000,235.084570,20.277981,225.034805,235.084570,20.277981,0.175122
L,breakdown,0.1,MOEA-NSGA2,5,1.000000,216.469276,7.375094,218.706450,216.469276,7.375094,1.114345
L,breakdown,0.1,MOR,5,1.000000,189.499626,18.298296,191.158843,189.499626,18.298296,0.000020
L,breakdown,0.1,MachineRank,5,1.000000,206.196293,11.877499,201.415838,206.196293,11.877499,0.000280
L,breakdown,0.1,SA,5,1.000000,226.493592,14.290395,226.637234,226.493592,14.290395,0.169505
L,breakdown,0.5,B-CORE,5,1.000000,154.552265,9.712703,149.947894,154.552265,9.712703,0.000501
L,breakdown,0.5,B-CORE-no-bottleneck,5,1.000000,166.438735,9.452381,169.065726,166.438735,9.452381,0.000507
L,breakdown,0.5,B-CORE-no-graph,5,1.000000,154.552265,9.712703,149.947894,154.552265,9.712703,0.000474
L,breakdown,0.5,DCGA,5,1.000000,216.770029,16.803495,218.334048,216.770029,16.803495,0.557341
L,breakdown,0.5,GA,5,1.000000,212.066645,14.281271,210.501175,212.066645,14.281271,0.541012
L,breakdown,0.5,LNS,5,1.000000,224.974419,10.983914,225.034805,224.974419,10.983914,0.559495
L,breakdown,0.5,MOEA-NSGA2,5,1.000000,216.469276,7.375094,218.706450,216.469276,7.375094,0.985954
L,breakdown,0.5,MOR,5,1.000000,189.499626,18.298296,191.158843,189.499626,18.298296,0.000016
L,breakdown,0.5,MachineRank,5,1.000000,206.196293,11.877499,201.415838,206.196293,11.877499,0.000206
L,breakdown,0.5,SA,5,1.000000,218.448731,17.578124,219.630288,218.448731,17.578124,0.575994
L,breakdown,1.0,B-CORE,5,1.000000,154.552265,9.712703,149.947894,154.552265,9.712703,0.000497
L,breakdown,1.0,B-CORE-no-bottleneck,5,1.000000,166.438735,9.452381,169.065726,166.438735,9.452381,0.000565
L,breakdown,1.0,B-CORE-no-graph,5,1.000000,154.552265,9.712703,149.947894,154.552265,9.712703,0.000470
L,breakdown,1.0,DCGA,5,1.000000,210.617111,12.088281,209.178600,210.617111,12.088281,1.066857
L,breakdown,1.0,GA,5,1.000000,215.204922,5.857703,214.737584,215.204922,5.857703,1.077672
L,breakdown,1.0,LNS,5,1.000000,219.403372,12.628943,217.388289,219.403372,12.628943,1.071778
L,breakdown,1.0,MOEA-NSGA2,5,1.000000,215.342534,9.047728,218.706450,215.342534,9.047728,1.089686
L,breakdown,1.0,MOR,5,1.000000,189.499626,18.298296,191.158843,189.499626,18.298296,0.000018
L,breakdown,1.0,MachineRank,5,1.000000,206.196293,11.877499,201.415838,206.196293,11.877499,0.000204
