scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
L,breakdown,0.1,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.1,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.1,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.1,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.1,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.1,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.1,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.1,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.1,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.1,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.5,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.5,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.5,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.5,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.5,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.5,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.5,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,0.5,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.5,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,0.5,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,1.0,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,1.0,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,1.0,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,1.0,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,1.0,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,1.0,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,1.0,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,1.0,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,1.0,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,1.0,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,10.0,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,10.0,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,10.0,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,10.0,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,10.0,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,10.0,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,10.0,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,10.0,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,10.0,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,10.0,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,5.0,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,5.0,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,5.0,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,5.0,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,5.0,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,5.0,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,5.0,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,breakdown,5.0,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,5.0,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,breakdown,5.0,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.1,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.1,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.1,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.1,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.1,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.1,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.1,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.1,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.1,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.1,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.5,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.5,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.5,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.5,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.5,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.5,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.5,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,0.5,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.5,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,0.5,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,1.0,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,1.0,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,1.0,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,1.0,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,1.0,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,1.0,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,1.0,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,1.0,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,1.0,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,1.0,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,10.0,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,10.0,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,10.0,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,10.0,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,10.0,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,10.0,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,10.0,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,10.0,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,10.0,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,10.0,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,5.0,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,5.0,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,5.0,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,5.0,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,5.0,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,5.0,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,5.0,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,mixed,5.0,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,5.0,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,mixed,5.0,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,rush_job,0.1,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,rush_job,0.1,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,rush_job,0.1,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,rush_job,0.1,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,rush_job,0.1,GA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,rush_job,0.1,LNS,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,rush_job,0.1,MOEA-NSGA2,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,rush_job,0.1,MOR,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,rush_job,0.1,MachineRank,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,rush_job,0.1,SA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
L,rush_job,0.5,B-CORE,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,rush_job,0.5,B-CORE-no-bottleneck,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,rush_job,0.5,B-CORE-no-graph,5,5,0.000000,0.000000,0.000000,0.000000,0.000000
L,rush_job,0.5,DCGA,5,5,1.000000,0.000000,1.000000,1.000000,1.000000
