scale,event_type,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
L,breakdown,B-CORE,10,1.000000,154.011299,7.971286,151.624336,154.011299,7.971286,0.000427
L,breakdown,B-CORE-no-bottleneck,10,1.000000,166.106208,10.026828,165.041355,166.106208,10.026828,0.000457
L,breakdown,B-CORE-no-graph,10,1.000000,154.011299,7.971286,151.624336,154.011299,7.971286,0.000451
L,breakdown,B-CORE-no-qp,10,1.000000,155.369673,6.485407,154.740166,155.369673,6.485407,0.000439
L,breakdown,B-CORE-no-transport,10,1.000000,204.781130,10.164306,205.795760,204.781130,10.164306,0.000477
L,mixed,B-CORE,10,1.000000,151.579712,8.615015,151.356147,151.579712,8.615015,0.000479
L,mixed,B-CORE-no-bottleneck,10,1.000000,164.759996,9.123721,164.105370,164.759996,9.123721,0.000474
L,mixed,B-CORE-no-graph,10,1.000000,151.579712,8.615015,151.356147,151.579712,8.615015,0.000477
L,mixed,B-CORE-no-qp,10,1.000000,153.531418,9.808092,155.101882,153.531418,9.808092,0.000459
L,mixed,B-CORE-no-transport,10,1.000000,200.503836,8.390477,199.716945,200.503836,8.390477,0.000480
L,rush_job,B-CORE,10,1.000000,152.573645,8.826599,154.114678,152.573645,8.826599,0.000476
L,rush_job,B-CORE-no-bottleneck,10,1.000000,162.168878,8.171519,164.043010,162.168878,8.171519,0.000474
L,rush_job,B-CORE-no-graph,10,1.000000,152.573645,8.826599,154.114678,152.573645,8.826599,0.000476
L,rush_job,B-CORE-no-qp,10,1.000000,152.303113,11.315878,156.441722,152.303113,11.315878,0.000467
L,rush_job,B-CORE-no-transport,10,1.000000,202.057907,11.292873,201.886663,202.057907,11.292873,0.000500
M,breakdown,B-CORE,10,1.000000,77.758395,6.449224,77.160393,77.758395,6.449224,0.000294
M,breakdown,B-CORE-no-bottleneck,10,1.000000,81.017955,5.709311,80.267134,81.017955,5.709311,0.000331
M,breakdown,B-CORE-no-graph,10,1.000000,77.758395,6.449224,77.160393,77.758395,6.449224,0.000315
M,breakdown,B-CORE-no-qp,10,1.000000,77.575332,6.972050,75.858406,77.575332,6.972050,0.000308
M,breakdown,B-CORE-no-transport,10,1.000000,87.669852,8.236188,85.977536,87.669852,8.236188,0.000315
M,mixed,B-CORE,10,1.000000,77.345190,5.941134,77.044611,77.345190,5.941134,0.000322
M,mixed,B-CORE-no-bottleneck,10,1.000000,78.077904,4.281998,78.007926,78.077904,4.281998,0.000323
M,mixed,B-CORE-no-graph,10,1.000000,77.345190,5.941134,77.044611,77.345190,5.941134,0.000320
M,mixed,B-CORE-no-qp,10,1.000000,77.143616,7.384079,77.974730,77.143616,7.384079,0.000303
M,mixed,B-CORE-no-transport,10,1.000000,90.285149,8.238323,88.785085,90.285149,8.238323,0.000319
M,rush_job,B-CORE,10,1.000000,76.224940,5.679656,75.836583,76.224940,5.679656,0.000298
M,rush_job,B-CORE-no-bottleneck,10,1.000000,78.924277,4.185902,78.067788,78.924277,4.185902,0.000321
M,rush_job,B-CORE-no-graph,10,1.000000,76.224940,5.679656,75.836583,76.224940,5.679656,0.000313
M,rush_job,B-CORE-no-qp,10,1.000000,75.505665,5.510648,74.071290,75.505665,5.510648,0.000317
M,rush_job,B-CORE-no-transport,10,1.000000,88.437158,6.996040,89.793456,88.437158,6.996040,0.000329
S,breakdown,B-CORE,10,1.000000,50.981160,5.366921,50.925477,50.981160,5.366921,0.000225
S,breakdown,B-CORE-no-bottleneck,10,1.000000,54.181451,6.622408,54.510299,54.181451,6.622408,0.000229
S,breakdown,B-CORE-no-graph,10,1.000000,50.981160,5.366921,50.925477,50.981160,5.366921,0.000230
S,breakdown,B-CORE-no-qp,10,1.000000,52.223191,7.721036,51.428179,52.223191,7.721036,0.000231
S,breakdown,B-CORE-no-transport,10,1.000000,56.992216,5.878577,57.641513,56.992216,5.878577,0.000230
S,mixed,B-CORE,10,1.000000,58.099672,10.532857,62.138926,58.099672,10.532857,0.000245
S,mixed,B-CORE-no-bottleneck,10,1.000000,57.084842,10.266699,61.621299,57.084842,10.266699,0.000250
S,mixed,B-CORE-no-graph,10,1.000000,58.099672,10.532857,62.138926,58.099672,10.532857,0.000231
S,mixed,B-CORE-no-qp,10,1.000000,56.899194,9.948106,60.706693,56.899194,9.948106,0.000244
S,mixed,B-CORE-no-transport,10,1.000000,62.150723,10.330230,62.857306,62.150723,10.330230,0.000218
S,rush_job,B-CORE,10,1.000000,53.002091,5.786273,54.876217,53.002091,5.786273,0.000271
S,rush_job,B-CORE-no-bottleneck,10,1.000000,57.085214,8.186060,56.367148,57.085214,8.186060,0.000238
S,rush_job,B-CORE-no-graph,10,1.000000,53.002091,5.786273,54.876217,53.002091,5.786273,0.000288
S,rush_job,B-CORE-no-qp,10,1.000000,53.394276,7.255654,53.722383,53.394276,7.255654,0.000237
S,rush_job,B-CORE-no-transport,10,1.000000,58.708142,7.032530,58.877487,58.708142,7.032530,0.000243
