scale,event_type,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
L,breakdown,B-CORE,10,1.000000,154.011299,7.971286,151.624336,154.011299,7.971286,0.000427
L,breakdown,B-CORE-no-bottleneck,10,1.000000,166.106208,10.026828,165.041355,166.106208,10.026828,0.000457
L,breakdown,B-CORE-no-graph,10,1.000000,154.011299,7.971286,151.624336,154.011299,7.971286,0.000451
L,breakdown,B-CORE-no-qp,10,1.000000,155.369673,6.485407,154.740166,155.369673,6.485407,0.000439
L,breakdown,B-CORE-no-transport,10,1.000000,204.781130,10.164306,205.795760,204.781130,10.164306,0.000477
L,breakdown,DCGA,10,1.000000,212.294605,11.762375,216.638005,212.294605,11.762375,1.042655
L,breakdown,GA,10,1.000000,219.473984,10.898810,216.722017,219.473984,10.898810,1.038869
L,breakdown,LNS,10,1.000000,218.863827,8.770840,217.607878,218.863827,8.770840,1.040210
L,breakdown,MOEA-NSGA2,10,1.000000,219.420088,10.718019,220.177748,219.420088,10.718019,1.050893
L,breakdown,MOR,10,1.000000,200.451339,17.757632,205.007713,200.451339,17.757632,0.000014
L,breakdown,MachineRank,10,1.000000,203.590597,11.464425,199.555878,203.590597,11.464425,0.000167
L,breakdown,SA,10,1.000000,222.569179,14.642583,221.162165,222.569179,14.642583,1.053347
L,mixed,B-CORE,10,1.000000,151.579712,8.615015,151.356147,151.579712,8.615015,0.000479
L,mixed,B-CORE-no-bottleneck,10,1.000000,164.759996,9.123721,164.105370,164.759996,9.123721,0.000474
L,mixed,B-CORE-no-graph,10,1.000000,151.579712,8.615015,151.356147,151.579712,8.615015,0.000477
L,mixed,B-CORE-no-qp,10,1.000000,153.531418,9.808092,155.101882,153.531418,9.808092,0.000459
L,mixed,B-CORE-no-transport,10,1.000000,200.503836,8.390477,199.716945,200.503836,8.390477,0.000480
L,mixed,DCGA,10,1.000000,217.545924,10.299503,215.961981,217.545924,10.299503,1.041951
L,mixed,GA,10,1.000000,222.279790,14.898655,221.330003,222.279790,14.898655,1.032441
L,mixed,LNS,10,1.000000,222.947239,7.907019,225.134466,222.947239,7.907019,1.042056
L,mixed,MOEA-NSGA2,10,1.000000,219.207370,15.989507,222.162820,219.207370,15.989507,1.050583
L,mixed,MOR,10,1.000000,206.351391,13.682133,205.361582,206.351391,13.682133,0.000013
L,mixed,MachineRank,10,1.000000,208.184916,19.028079,207.849266,208.184916,19.028079,0.000183
L,mixed,SA,10,1.000000,220.201161,17.687987,223.337831,220.201161,17.687987,1.037044
L,rush_job,B-CORE,10,1.000000,152.573645,8.826599,154.114678,152.573645,8.826599,0.000476
L,rush_job,B-CORE-no-bottleneck,10,1.000000,162.168878,8.171519,164.043010,162.168878,8.171519,0.000474
L,rush_job,B-CORE-no-graph,10,1.000000,152.573645,8.826599,154.114678,152.573645,8.826599,0.000476
L,rush_job,B-CORE-no-qp,10,1.000000,152.303113,11.315878,156.441722,152.303113,11.315878,0.000467
L,rush_job,B-CORE-no-transport,10,1.000000,202.057907,11.292873,201.886663,202.057907,11.292873,0.000500
L,rush_job,DCGA,10,1.000000,214.147846,9.490555,216.044346,214.147846,9.490555,1.044786
L,rush_job,GA,10,1.000000,215.418967,15.859301,213.371789,215.418967,15.859301,1.049442
L,rush_job,LNS,10,1.000000,216.698015,8.273070,217.319522,216.698015,8.273070,1.041484
L,rush_job,MOEA-NSGA2,10,1.000000,212.177625,10.769380,215.618787,212.177625,10.769380,1.047978
L,rush_job,MOR,10,1.000000,216.806831,16.842741,214.223087,216.806831,16.842741,0.000016
L,rush_job,MachineRank,10,1.000000,207.441869,21.903518,202.561545,207.441869,21.903518,0.000184
L,rush_job,SA,10,1.000000,224.787837,17.527513,219.960772,224.787837,17.527513,1.047963
M,breakdown,B-CORE,10,1.000000,77.758395,6.449224,77.160393,77.758395,6.449224,0.000294
M,breakdown,B-CORE-no-bottleneck,10,1.000000,81.017955,5.709311,80.267134,81.017955,5.709311,0.000331
M,breakdown,B-CORE-no-graph,10,1.000000,77.758395,6.449224,77.160393,77.758395,6.449224,0.000315
M,breakdown,B-CORE-no-qp,10,1.000000,77.575332,6.972050,75.858406,77.575332,6.972050,0.000308
M,breakdown,B-CORE-no-transport,10,1.000000,87.669852,8.236188,85.977536,87.669852,8.236188,0.000315
M,breakdown,DCGA,10,1.000000,83.804193,7.604558,85.114457,83.804193,7.604558,1.010793
M,breakdown,GA,10,1.000000,86.050542,4.735157,84.767057,86.050542,4.735157,1.012207
M,breakdown,LNS,10,1.000000,86.382292,6.262575,85.435088,86.382292,6.262575,1.010466
M,breakdown,MOEA-NSGA2,10,1.000000,84.057536,5.484500,86.163280,84.057536,5.484500,1.011021
M,breakdown,MOR,10,1.000000,98.062673,6.204068,98.604284,98.062673,6.204068,0.000011
M,breakdown,MachineRank,10,1.000000,95.919543,8.043387,98.943262,95.919543,8.043387,0.000062
M,breakdown,SA,10,1.000000,92.179575,8.992159,93.207054,92.179575,8.992159,1.013424
M,mixed,B-CORE,10,1.000000,77.345190,5.941134,77.044611,77.345190,5.941134,0.000322
M,mixed,B-CORE-no-bottleneck,10,1.000000,78.077904,4.281998,78.007926,78.077904,4.281998,0.000323
M,mixed,B-CORE-no-graph,10,1.000000,77.345190,5.941134,77.044611,77.345190,5.941134,0.000320
M,mixed,B-CORE-no-qp,10,1.000000,77.143616,7.384079,77.974730,77.143616,7.384079,0.000303
M,mixed,B-CORE-no-transport,10,1.000000,90.285149,8.238323,88.785085,90.285149,8.238323,0.000319
M,mixed,DCGA,10,1.000000,82.222458,6.869308,83.762850,82.222458,6.869308,1.010073
M,mixed,GA,10,1.000000,86.999761,6.436501,87.142276,86.999761,6.436501,1.009545
M,mixed,LNS,10,1.000000,84.416102,5.215997,85.597309,84.416102,5.215997,1.010728
M,mixed,MOEA-NSGA2,10,1.000000,85.142686,4.817099,85.957631,85.142686,4.817099,1.009377
M,mixed,MOR,10,1.000000,99.264562,7.649417,99.249847,99.264562,7.649417,0.000011
M,mixed,MachineRank,10,1.000000,92.497966,8.692705,89.720405,92.497966,8.692705,0.000075
M,mixed,SA,10,1.000000,90.842037,6.921226,92.685905,90.842037,6.921226,1.009722
M,rush_job,B-CORE,10,1.000000,76.224940,5.679656,75.836583,76.224940,5.679656,0.000298
M,rush_job,B-CORE-no-bottleneck,10,1.000000,78.924277,4.185902,78.067788,78.924277,4.185902,0.000321
M,rush_job,B-CORE-no-graph,10,1.000000,76.224940,5.679656,75.836583,76.224940,5.679656,0.000313
M,rush_job,B-CORE-no-qp,10,1.000000,75.505665,5.510648,74.071290,75.505665,5.510648,0.000317
M,rush_job,B-CORE-no-transport,10,1.000000,88.437158,6.996040,89.793456,88.437158,6.996040,0.000329
M,rush_job,DCGA,10,1.000000,81.524678,8.853953,82.364181,81.524678,8.853953,1.010447
M,rush_job,GA,10,1.000000,84.812731,9.791844,82.911812,84.812731,9.791844,1.012475
M,rush_job,LNS,10,1.000000,86.654383,8.203334,86.492831,86.654383,8.203334,1.009158
M,rush_job,MOEA-NSGA2,10,1.000000,83.247583,5.667199,82.860650,83.247583,5.667199,1.010530
M,rush_job,MOR,10,1.000000,92.282783,5.921939,89.821168,92.282783,5.921939,0.000010
M,rush_job,MachineRank,10,1.000000,89.473405,7.812416,92.226762,89.473405,7.812416,0.000056
M,rush_job,SA,10,1.000000,86.741430,11.239827,85.312031,86.741430,11.239827,1.007203
S,breakdown,B-CORE,10,1.000000,50.981160,5.366921,50.925477,50.981160,5.366921,0.000225
S,breakdown,B-CORE-no-bottleneck,10,1.000000,54.181451,6.622408,54.510299,54.181451,6.622408,0.000229
S,breakdown,B-CORE-no-graph,10,1.000000,50.981160,5.366921,50.925477,50.981160,5.366921,0.000230
S,breakdown,B-CORE-no-qp,10,1.000000,52.223191,7.721036,51.428179,52.223191,7.721036,0.000231
S,breakdown,B-CORE-no-transport,10,1.000000,56.992216,5.878577,57.641513,56.992216,5.878577,0.000230
S,breakdown,DCGA,10,1.000000,48.389361,5.431133,47.251535,48.389361,5.431133,1.003152
S,breakdown,GA,10,1.000000,48.872549,6.015568,47.854836,48.872549,6.015568,1.002820
S,breakdown,LNS,10,1.000000,48.852057,7.745970,47.589769,48.852057,7.745970,1.003292
S,breakdown,MOEA-NSGA2,10,1.000000,47.292197,5.353818,46.257384,47.292197,5.353818,1.003119
S,breakdown,MOR,10,1.000000,60.231173,7.343195,61.369266,60.231173,7.343195,0.000008
S,breakdown,MachineRank,10,1.000000,56.680957,6.120171,57.814752,56.680957,6.120171,0.000054
S,breakdown,SA,10,1.000000,50.800166,7.384307,49.517688,50.800166,7.384307,1.003562
S,mixed,B-CORE,10,1.000000,58.099672,10.532857,62.138926,58.099672,10.532857,0.000245
S,mixed,B-CORE-no-bottleneck,10,1.000000,57.084842,10.266699,61.621299,57.084842,10.266699,0.000250
S,mixed,B-CORE-no-graph,10,1.000000,58.099672,10.532857,62.138926,58.099672,10.532857,0.000231
S,mixed,B-CORE-no-qp,10,1.000000,56.899194,9.948106,60.706693,56.899194,9.948106,0.000244
S,mixed,B-CORE-no-transport,10,1.000000,62.150723,10.330230,62.857306,62.150723,10.330230,0.000218
