scale,n_rows,n_metric_rows,mean,std,median,min,max
J2_M2_A1_O2,40,40,12.180763,16.035353,6.865916,0.000000,68.805228
J2_M2_A1_O3,40,40,40.669835,30.821701,36.744207,5.882353,133.379989
J2_M2_A2_O2,40,40,37.800472,22.616620,37.035093,7.142857,93.691976
J2_M2_A2_O3,40,40,23.025199,14.776516,20.753309,5.882353,71.157280
J2_M3_A1_O2,40,40,107.163947,48.234521,115.294249,13.244985,229.439955
J2_M3_A1_O3,40,40,77.155792,43.545394,71.141165,9.375000,204.658087
J2_M3_A2_O2,40,40,47.314958,19.703105,45.819966,8.498099,105.692151
J2_M3_A2_O3,40,40,35.414889,17.287988,31.480741,9.375000,67.195559
J3_M2_A1_O2,40,40,67.352613,42.793200,65.253312,5.882353,181.554944
J3_M2_A1_O3,40,40,50.173833,31.790440,45.216042,4.000000,122.086453
J3_M2_A2_O2,40,40,36.127759,23.859241,33.657280,5.882353,90.638627
J3_M2_A2_O3,40,40,27.412530,20.597443,23.777473,4.000000,88.425831
J3_M3_A1_O2,40,40,142.969555,73.205824,136.598657,18.644068,294.232391
J3_M3_A1_O3,40,40,100.090030,36.232623,94.138106,35.805281,186.604774
J3_M3_A2_O2,40,40,57.741308,29.886312,51.150994,12.461317,125.000000
J3_M3_A2_O3,40,40,46.821109,20.468645,47.538473,19.656160,92.790829
J4_M2_A1_O2,40,40,62.534873,38.317237,64.937030,4.166667,136.296062
J4_M2_A1_O3,40,40,43.065657,27.792537,45.744979,2.941176,119.186823
J4_M2_A2_O2,40,40,29.385769,19.082556,28.801713,4.166667,82.569391
J4_M2_A2_O3,40,40,22.526436,14.354673,24.254156,2.941176,54.891794
J4_M3_A1_O2,40,40,170.556465,75.292178,174.806783,34.137232,312.267902
J4_M3_A1_O3,40,40,124.158960,47.666193,127.414561,35.299808,239.158123
J4_M3_A2_O2,40,40,74.206555,38.197678,71.494112,5.263158,145.542006
J4_M3_A2_O3,40,40,57.304365,21.129561,52.139804,22.948512,108.012124
J5_M2_A1_O2,40,40,58.104153,38.914367,58.215611,3.448276,174.079194
J5_M2_A1_O3,40,40,35.117848,29.133895,28.142933,2.500000,117.138967
J5_M2_A2_O2,40,40,27.699488,19.603924,25.875375,3.448276,75.104584
J5_M2_A2_O3,40,40,18.106040,15.845436,13.407378,2.500000,58.938951
J5_M3_A1_O2,40,40,172.760030,78.415852,195.739749,5.263158,295.514082
J5_M3_A1_O3,40,40,136.935553,58.628059,148.236930,24.204740,247.653886
J5_M3_A2_O2,40,40,71.590483,37.887462,74.015698,5.263158,145.999236
J5_M3_A2_O3,40,40,59.048662,26.913449,55.842811,10.000000,135.454548
