experiment_id,timestamp,instance_id,scale,event_type,instance_seed,dynamic_seed,algorithm_seed,budget_sec,algorithm,status,error_message,runtime_sec,model_type,solver,solver_status,n_jobs,n_machines,n_agvs,n_ops_per_job,exact_or_relaxed_objective,exact_or_relaxed_makespan,exact_or_relaxed_agv_travel,exact_best_bound,bcore_objective,bcore_makespan,bcore_agv_travel,gap_pct_vs_exact_or_relaxed,exact_runtime_sec,bcore_runtime_sec,speedup_ratio,feasible,timeout,notes
exact|breakdown|J2|M2|A1|O2|42,2026-06-03T14:41:45,breakdown_J2_M2_A1_O2_seed42,J2_M2_A1_O2,breakdown,42,30042,42,60.0,,solved,,0.009628,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,10.000000,10.000000,,10.000000,10.000000,10.000000,not_logged_by_exact_worker,0.000000,0.007357,0.000915,8.040328,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|static|J2|M2|A1|O2|42,2026-06-03T14:41:45,static_J2_M2_A1_O2_seed42,J2_M2_A1_O2,static,42,42,42,60.0,,solved,,0.014538,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,10.000000,10.000000,,10.000000,16.880523,16.880523,not_logged_by_exact_worker,68.805228,0.012144,0.000987,12.306040,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|breakdown|J2|M2|A1|O2|45,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed45,J2_M2_A1_O2,breakdown,45,30045,45,60.0,,solved,,0.007943,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,8.692582,8.692582,,8.692582,8.692582,8.692582,not_logged_by_exact_worker,0.000000,0.006098,0.000890,6.852568,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|breakdown|J2|M2|A1|O2|44,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed44,J2_M2_A1_O2,breakdown,44,30044,44,60.0,,solved,,0.008846,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,13.495358,13.495358,,13.495358,14.077747,14.077747,not_logged_by_exact_worker,4.315478,0.006977,0.000886,7.876171,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|breakdown|J2|M2|A1|O2|46,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed46,J2_M2_A1_O2,breakdown,46,30046,46,60.0,,solved,,0.007621,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,20.692582,20.692582,,20.692582,20.692582,20.692582,not_logged_by_exact_worker,0.000000,0.005951,0.000760,7.832588,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|breakdown|J2|M2|A1|O2|43,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed43,J2_M2_A1_O2,breakdown,43,30043,43,60.0,,solved,,0.008473,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,14.692582,14.692582,,14.692582,14.692582,14.692582,not_logged_by_exact_worker,0.000000,0.006657,0.000894,7.449418,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|breakdown|J2|M2|A1|O2|48,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed48,J2_M2_A1_O2,breakdown,48,30048,48,60.0,,solved,,0.006963,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,15.000000,15.000000,,15.000000,15.000000,15.000000,not_logged_by_exact_worker,0.000000,0.005612,0.000675,8.312546,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|breakdown|J2|M2|A1|O2|47,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed47,J2_M2_A1_O2,breakdown,47,30047,47,60.0,,solved,,0.008644,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,15.605551,15.605551,,15.605551,16.802776,16.802776,not_logged_by_exact_worker,7.671785,0.007002,0.000966,7.244490,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|breakdown|J2|M2|A1|O2|49,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed49,J2_M2_A1_O2,breakdown,49,30049,49,60.0,,solved,,0.007655,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,11.000000,11.000000,,11.000000,11.000000,11.000000,not_logged_by_exact_worker,0.000000,0.006225,0.000810,7.686589,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
exact|breakdown|J2|M2|A1|O2|50,2026-06-03T14:43:41,breakdown_J2_M2_A1_O2_seed50,J2_M2_A1_O2,breakdown,50,30050,50,60.0,,solved,,0.006957,complete_simulator_branch_bound_agv_path_tiny,project_environment_branch_bound,solved,2,2,1,2,11.385165,11.385165,,11.385165,11.692582,11.692582,not_logged_by_exact_worker,2.700159,0.005572,0.000735,7.579162,true,false,Tiny branch-bound rows are exact over the project simulator. Other rows are CP-SAT transport-capacity relaxation; empty AGV repositioning/path conflicts are relaxed.
