weight_name,weight_kind,perturbation_percent,n_rows,mean_objective,std_objective,rank_stability_proxy_cv
agv_remaining_ops,single_coeff,-10,45,94.906135,44.670056,0.470676
agv_remaining_ops,single_coeff,-25,45,94.889604,44.612157,0.470148
agv_remaining_ops,single_coeff,-50,45,94.791594,44.447289,0.468895
agv_remaining_ops,single_coeff,10,45,94.691346,44.438471,0.469298
agv_remaining_ops,single_coeff,25,45,94.767495,44.545001,0.470045
agv_remaining_ops,single_coeff,50,45,94.239948,44.220721,0.469235
agv_transport,single_coeff,-10,45,94.767495,44.545001,0.470045
agv_transport,single_coeff,-25,45,94.670378,44.554827,0.470631
agv_transport,single_coeff,-50,45,95.411375,46.020985,0.482343
agv_transport,single_coeff,10,45,95.062607,44.546324,0.468600
agv_transport,single_coeff,25,45,95.046076,44.488325,0.468071
agv_transport,single_coeff,50,45,94.942346,44.528527,0.469006
agv_wait,single_coeff,-10,45,94.906135,44.670056,0.470676
agv_wait,single_coeff,-25,45,94.906135,44.670056,0.470676
agv_wait,single_coeff,-50,45,94.906135,44.670056,0.470676
agv_wait,single_coeff,10,45,94.906135,44.670056,0.470676
agv_wait,single_coeff,25,45,94.906135,44.670056,0.470676
agv_wait,single_coeff,50,45,94.906135,44.670056,0.470676
base,base,0,45,94.906135,44.670056,0.470676
bottleneck,single_component,-10,45,94.353622,44.253498,0.469017
bottleneck,single_component,-25,45,95.729659,46.111637,0.481686
bottleneck,single_component,-50,45,96.024049,44.716364,0.465679
bottleneck,single_component,10,45,97.062764,48.037158,0.494908
bottleneck,single_component,25,45,94.492385,44.627526,0.472287
bottleneck,single_component,50,45,95.846584,46.659159,0.486811
disturbance,single_component,-10,45,95.837153,46.005513,0.480038
disturbance,single_component,-25,45,96.077237,46.419059,0.483143
disturbance,single_component,-50,45,97.098677,47.380994,0.487967
disturbance,single_component,10,45,95.314876,45.212582,0.474350
disturbance,single_component,25,45,95.148130,44.791931,0.470760
disturbance,single_component,50,45,95.743064,45.962775,0.480064
job_urgency,single_component,-10,45,96.292566,46.881283,0.486863
job_urgency,single_component,-25,45,95.738960,46.558572,0.486307
job_urgency,single_component,-50,45,95.769854,46.473248,0.485260
job_urgency,single_component,10,45,93.474727,43.724585,0.467769
job_urgency,single_component,25,45,94.186517,44.808960,0.475747
job_urgency,single_component,50,45,94.773227,45.410321,0.479147
machine_alt_gap,single_coeff,-10,45,95.263014,45.346703,0.476016
machine_alt_gap,single_coeff,-25,45,95.229920,44.950636,0.472022
machine_alt_gap,single_coeff,-50,45,94.761951,46.632196,0.492098
machine_alt_gap,single_coeff,10,45,95.858586,46.145924,0.481396
machine_alt_gap,single_coeff,25,45,96.325863,46.178184,0.479395
machine_alt_gap,single_coeff,50,45,97.048043,47.028983,0.484595
