experiment_id,timestamp,instance_id,scale,event_type,instance_seed,dynamic_seed,algorithm_seed,budget_sec,algorithm,status,error_message,runtime_sec,weight_name,weight_kind,perturbation_percent,weight_seed,coeff_json,component_json,makespan,objective,agv_travel,latency,rank,percentile,notes
weight_single|S|breakdown|42|machine_delay|single_coeff|-10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.012851,machine_delay,single_coeff,-10,0,"{""machine_delay"": 0.315}",{},48.026998,48.026998,230.896724,0.000135,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|base|base|0,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.013889,base,base,0,0,{},{},48.026998,48.026998,230.896724,0.000142,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|machine_delay|single_coeff|10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.012948,machine_delay,single_coeff,10,0,"{""machine_delay"": 0.385}",{},48.026998,48.026998,230.896724,0.000139,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|machine_queue|single_coeff|-10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.013850,machine_queue,single_coeff,-10,0,"{""machine_queue"": 0.49500000000000005}",{},48.026998,48.026998,230.896724,0.000143,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|machine_remaining_ops|single_coeff|10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.011915,machine_remaining_ops,single_coeff,10,0,"{""machine_remaining_ops"": -0.24200000000000002}",{},48.026998,48.026998,230.896724,0.000122,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|machine_remaining_work|single_coeff|-10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.012602,machine_remaining_work,single_coeff,-10,0,"{""machine_remaining_work"": -0.07200000000000001}",{},48.026998,48.026998,230.896724,0.000130,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|machine_remaining_work|single_coeff|10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.011402,machine_remaining_work,single_coeff,10,0,"{""machine_remaining_work"": -0.08800000000000001}",{},48.026998,48.026998,230.896724,0.000118,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|agv_transport|single_coeff|-10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.012454,agv_transport,single_coeff,-10,0,"{""agv_transport"": 0.9}",{},48.026998,48.026998,230.896724,0.000128,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|agv_transport|single_coeff|10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.011507,agv_transport,single_coeff,10,0,"{""agv_transport"": 1.1}",{},48.026998,48.026998,230.896724,0.000118,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
weight_single|S|breakdown|42|machine_transport|single_coeff|-10,2026-06-03T14:41:59,S_breakdown_seed42,S,breakdown,42,30042,30042,0.0,B-CORE,solved,,0.012551,machine_transport,single_coeff,-10,0,"{""machine_transport"": 0.108}",{},48.026998,48.026998,230.896724,0.000131,,,q_p is represented by machine_pressure and remains machine-side only; AGV q_p is N/A
