weight_name,weight_kind,perturbation_percent,n_rows,n_metric_rows,mean,std,median,min,max
agv_remaining_ops,single_coeff,-10,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
agv_remaining_ops,single_coeff,-25,45,45,94.889604,44.612157,76.477507,41.076999,170.287718
agv_remaining_ops,single_coeff,-50,45,45,94.791594,44.447289,76.477507,41.076999,165.877286
agv_remaining_ops,single_coeff,10,45,45,94.691346,44.438471,76.477507,41.076999,170.287718
agv_remaining_ops,single_coeff,25,45,45,94.767495,44.545001,76.477507,41.076999,170.287718
agv_remaining_ops,single_coeff,50,45,45,94.239948,44.220721,77.170646,41.076999,170.287718
agv_transport,single_coeff,-10,45,45,94.767495,44.545001,76.477507,41.076999,170.287718
agv_transport,single_coeff,-25,45,45,94.670378,44.554827,76.477507,41.076999,170.287718
agv_transport,single_coeff,-50,45,45,95.411375,46.020985,77.170646,41.076999,174.105536
agv_transport,single_coeff,10,45,45,95.062607,44.546324,76.477507,41.076999,170.287718
agv_transport,single_coeff,25,45,45,95.046076,44.488325,76.477507,41.076999,170.287718
agv_transport,single_coeff,50,45,45,94.942346,44.528527,76.305767,41.076999,170.287718
agv_wait,single_coeff,-10,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
agv_wait,single_coeff,-25,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
agv_wait,single_coeff,-50,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
agv_wait,single_coeff,10,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
agv_wait,single_coeff,25,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
agv_wait,single_coeff,50,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
base,base,0,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
bottleneck,single_component,-10,45,45,94.353622,44.253498,76.477507,41.076999,174.852618
bottleneck,single_component,-25,45,45,95.729659,46.111637,76.423770,41.076999,175.658597
bottleneck,single_component,-50,45,45,96.024049,44.716364,78.748504,41.076999,167.922498
bottleneck,single_component,10,45,45,97.062764,48.037158,76.477507,41.076999,182.131354
bottleneck,single_component,25,45,45,94.492385,44.627526,76.477507,41.076999,166.756009
bottleneck,single_component,50,45,45,95.846584,46.659159,75.787629,41.076999,179.079319
disturbance,single_component,-10,45,45,95.837153,46.005513,76.477507,41.076999,170.287718
disturbance,single_component,-25,45,45,96.077237,46.419059,76.477507,41.076999,171.247866
disturbance,single_component,-50,45,45,97.098677,47.380994,76.477507,41.076999,171.247866
disturbance,single_component,10,45,45,95.314876,45.212582,76.477507,41.076999,166.842384
disturbance,single_component,25,45,45,95.148130,44.791931,77.026381,41.076999,166.842384
disturbance,single_component,50,45,45,95.743064,45.962775,76.477507,41.076999,172.168234
job_urgency,single_component,-10,45,45,96.292566,46.881283,76.477507,41.076999,178.248556
job_urgency,single_component,-25,45,45,95.738960,46.558572,75.787629,41.076999,180.245948
job_urgency,single_component,-50,45,45,95.769854,46.473248,75.694248,41.076999,171.293858
job_urgency,single_component,10,45,45,93.474727,43.724585,76.477507,41.076999,168.596992
job_urgency,single_component,25,45,45,94.186517,44.808960,77.170646,41.076999,169.692959
job_urgency,single_component,50,45,45,94.773227,45.410321,77.146390,41.076999,174.745918
machine_alt_gap,single_coeff,-10,45,45,95.263014,45.346703,76.423770,41.076999,171.165103
machine_alt_gap,single_coeff,-25,45,45,95.229920,44.950636,77.026381,41.076999,166.978407
machine_alt_gap,single_coeff,-50,45,45,94.761951,46.632196,72.448711,41.076999,181.589317
machine_alt_gap,single_coeff,10,45,45,95.858586,46.145924,75.999835,41.076999,172.608780
machine_alt_gap,single_coeff,25,45,45,96.325863,46.178184,76.305767,41.076999,173.092340
machine_alt_gap,single_coeff,50,45,45,97.048043,47.028983,75.952393,41.076999,179.737960
machine_delay,single_coeff,-10,45,45,94.819687,44.698996,76.982284,41.076999,170.287718
machine_delay,single_coeff,-25,45,45,94.327915,44.095626,76.982284,41.076999,166.055345
machine_delay,single_coeff,-50,45,45,94.269502,45.039762,76.477507,41.044529,166.538660
machine_delay,single_coeff,10,45,45,95.604809,45.563626,76.477507,41.076999,176.580132
machine_delay,single_coeff,25,45,45,95.881781,45.239427,76.477507,41.076999,176.580132
machine_delay,single_coeff,50,45,45,96.975123,46.381434,77.026381,41.076999,176.580132
machine_pressure,single_coeff,-10,45,45,94.754379,44.608541,76.477507,41.076999,170.287718
machine_pressure,single_coeff,-25,45,45,94.770865,44.103642,76.498066,41.076999,164.946457
machine_pressure,single_coeff,-50,45,45,94.864973,43.554709,76.982284,41.076999,161.132153
machine_pressure,single_coeff,10,45,45,95.898093,46.164687,76.477507,41.076999,176.580132
machine_pressure,single_coeff,25,45,45,95.613545,46.792487,75.952393,41.076999,175.122183
machine_pressure,single_coeff,50,45,45,96.104302,47.077434,75.952393,41.076999,175.122183
machine_queue,single_coeff,-10,45,45,94.958212,44.736000,76.477507,41.076999,170.287718
machine_queue,single_coeff,-25,45,45,94.958212,44.736000,76.477507,41.076999,170.287718
machine_queue,single_coeff,-50,45,45,94.958212,44.736000,76.477507,41.076999,170.287718
machine_queue,single_coeff,10,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
machine_queue,single_coeff,25,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
machine_queue,single_coeff,50,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
machine_remaining_ops,single_coeff,-10,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
machine_remaining_ops,single_coeff,-25,45,45,94.879940,44.637336,76.477507,41.076999,170.287718
machine_remaining_ops,single_coeff,-50,45,45,94.879940,44.637336,76.477507,41.076999,170.287718
machine_remaining_ops,single_coeff,10,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
machine_remaining_ops,single_coeff,25,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
machine_remaining_ops,single_coeff,50,45,45,94.832876,44.709161,76.477507,41.076999,170.287718
machine_remaining_work,single_coeff,-10,45,45,94.879940,44.637336,76.477507,41.076999,170.287718
machine_remaining_work,single_coeff,-25,45,45,94.879940,44.637336,76.477507,41.076999,170.287718
machine_remaining_work,single_coeff,-50,45,45,94.879940,44.637336,76.477507,41.076999,170.287718
machine_remaining_work,single_coeff,10,45,45,94.906135,44.670056,76.477507,41.076999,170.287718
machine_remaining_work,single_coeff,25,45,45,94.832876,44.709161,76.477507,41.076999,170.287718
machine_remaining_work,single_coeff,50,45,45,94.832876,44.709161,76.477507,41.076999,170.287718
machine_transport,single_coeff,-10,45,45,97.023062,47.775758,75.999835,41.076999,178.321697
machine_transport,single_coeff,-25,45,45,96.729799,47.300934,75.952393,41.076999,172.608780
machine_transport,single_coeff,-50,45,45,98.421943,47.803973,76.956529,41.076999,179.535613
machine_transport,single_coeff,10,45,45,94.614737,45.289425,76.477507,41.076999,171.165103
machine_transport,single_coeff,25,45,45,95.254891,45.693507,77.938696,41.076999,173.704308
machine_transport,single_coeff,50,45,45,94.352132,44.998968,74.239522,41.076999,177.000297
safety,single_component,-10,45,45,95.081829,44.731088,76.982284,41.076999,170.287718
safety,single_component,-25,45,45,95.175241,44.963913,76.477507,41.076999,170.287718
safety,single_component,-50,45,45,95.236527,44.889262,76.477507,41.076999,166.055345
safety,single_component,10,45,45,95.335543,45.321707,76.477507,41.076999,176.580132
safety,single_component,25,45,45,97.518964,47.997111,76.477507,41.076999,183.146755
safety,single_component,50,45,45,98.356300,49.013864,77.843280,41.076999,183.146755
transport,single_component,-10,45,45,95.017438,45.210341,76.477507,41.076999,174.852618
transport,single_component,-25,45,45,95.252167,44.608996,76.501944,41.076999,174.892720
transport,single_component,-50,45,45,95.823596,45.766460,75.569443,41.076999,172.486900
transport,single_component,10,45,45,96.336634,46.958854,76.477507,41.076999,172.376958
transport,single_component,25,45,45,96.352559,47.426537,76.162223,41.076999,171.073260
transport,single_component,50,45,45,95.324160,46.395009,76.477507,41.076999,180.962124
