scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
L,breakdown,0.1,B-CORE,5,5,0.000514,0.000081,0.000501,0.000426,0.000617
L,breakdown,0.1,B-CORE-no-bottleneck,5,5,0.000509,0.000071,0.000524,0.000410,0.000579
L,breakdown,0.1,B-CORE-no-graph,5,5,0.000567,0.000225,0.000470,0.000448,0.000968
L,breakdown,0.1,DCGA,5,5,0.171599,0.029618,0.179203,0.120825,0.198288
L,breakdown,0.1,GA,5,5,0.172316,0.029101,0.174925,0.127009,0.208388
L,breakdown,0.1,LNS,5,5,0.175122,0.027788,0.174855,0.136194,0.214781
L,breakdown,0.1,MOEA-NSGA2,5,5,1.114345,0.328954,1.056740,0.767199,1.651793
L,breakdown,0.1,MOR,5,5,0.000020,0.000006,0.000018,0.000016,0.000030
L,breakdown,0.1,MachineRank,5,5,0.000280,0.000216,0.000252,0.000026,0.000626
L,breakdown,0.1,SA,5,5,0.169505,0.024532,0.176400,0.127554,0.192150
L,breakdown,0.5,B-CORE,5,5,0.000501,0.000115,0.000468,0.000403,0.000698
L,breakdown,0.5,B-CORE-no-bottleneck,5,5,0.000507,0.000040,0.000521,0.000458,0.000552
L,breakdown,0.5,B-CORE-no-graph,5,5,0.000474,0.000042,0.000458,0.000436,0.000545
L,breakdown,0.5,DCGA,5,5,0.557341,0.044483,0.548467,0.513250,0.631090
L,breakdown,0.5,GA,5,5,0.541012,0.018613,0.538030,0.516003,0.567547
L,breakdown,0.5,LNS,5,5,0.559495,0.032992,0.553498,0.523122,0.612930
L,breakdown,0.5,MOEA-NSGA2,5,5,0.985954,0.115587,1.036690,0.784803,1.072908
L,breakdown,0.5,MOR,5,5,0.000016,0.000005,0.000014,0.000009,0.000022
L,breakdown,0.5,MachineRank,5,5,0.000206,0.000099,0.000256,0.000031,0.000264
L,breakdown,0.5,SA,5,5,0.575994,0.067729,0.569523,0.510368,0.685432
L,breakdown,1.0,B-CORE,5,5,0.000497,0.000039,0.000494,0.000452,0.000557
L,breakdown,1.0,B-CORE-no-bottleneck,5,5,0.000565,0.000154,0.000528,0.000427,0.000821
L,breakdown,1.0,B-CORE-no-graph,5,5,0.000470,0.000027,0.000459,0.000439,0.000499
L,breakdown,1.0,DCGA,5,5,1.066857,0.024497,1.068137,1.027366,1.093201
L,breakdown,1.0,GA,5,5,1.077672,0.041821,1.073495,1.026756,1.142950
L,breakdown,1.0,LNS,5,5,1.071778,0.038626,1.054087,1.041965,1.137677
L,breakdown,1.0,MOEA-NSGA2,5,5,1.089686,0.046216,1.075316,1.045641,1.154334
L,breakdown,1.0,MOR,5,5,0.000018,0.000006,0.000016,0.000012,0.000027
L,breakdown,1.0,MachineRank,5,5,0.000204,0.000117,0.000249,0.000020,0.000321
L,breakdown,1.0,SA,5,5,1.090773,0.035912,1.080138,1.064491,1.153786
L,breakdown,10.0,B-CORE,5,5,0.000474,0.000051,0.000469,0.000427,0.000557
L,breakdown,10.0,B-CORE-no-bottleneck,5,5,0.000459,0.000096,0.000497,0.000301,0.000535
L,breakdown,10.0,B-CORE-no-graph,5,5,0.000485,0.000113,0.000508,0.000294,0.000581
L,breakdown,10.0,DCGA,5,5,10.057761,0.013043,10.055542,10.042061,10.077754
L,breakdown,10.0,GA,5,5,10.048621,0.021932,10.039981,10.026784,10.080595
