scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
L,breakdown,0.1,B-CORE,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,0.1,B-CORE-no-bottleneck,5,5,166.438735,9.452381,169.065726,155.072570,176.243080
L,breakdown,0.1,B-CORE-no-graph,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,0.1,DCGA,5,5,230.343909,15.508822,225.034805,215.550106,255.283010
L,breakdown,0.1,GA,5,5,226.607474,12.495829,224.099162,212.350353,246.459400
L,breakdown,0.1,LNS,5,5,235.084570,20.277981,225.034805,215.550106,265.281654
L,breakdown,0.1,MOEA-NSGA2,5,5,216.469276,7.375094,218.706450,208.463059,224.556855
L,breakdown,0.1,MOR,5,5,189.499626,18.298296,191.158843,170.464416,217.528578
L,breakdown,0.1,MachineRank,5,5,206.196293,11.877499,201.415838,197.761564,226.797932
L,breakdown,0.1,SA,5,5,226.493592,14.290395,226.637234,208.148938,246.721505
L,breakdown,0.5,B-CORE,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,0.5,B-CORE-no-bottleneck,5,5,166.438735,9.452381,169.065726,155.072570,176.243080
L,breakdown,0.5,B-CORE-no-graph,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,0.5,DCGA,5,5,216.770029,16.803495,218.334048,199.516899,240.851733
L,breakdown,0.5,GA,5,5,212.066645,14.281271,210.501175,193.444201,228.383986
L,breakdown,0.5,LNS,5,5,224.974419,10.983914,225.034805,208.709490,239.244307
L,breakdown,0.5,MOEA-NSGA2,5,5,216.469276,7.375094,218.706450,208.463059,224.556855
L,breakdown,0.5,MOR,5,5,189.499626,18.298296,191.158843,170.464416,217.528578
L,breakdown,0.5,MachineRank,5,5,206.196293,11.877499,201.415838,197.761564,226.797932
L,breakdown,0.5,SA,5,5,218.448731,17.578124,219.630288,190.504845,235.150500
L,breakdown,1.0,B-CORE,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,1.0,B-CORE-no-bottleneck,5,5,166.438735,9.452381,169.065726,155.072570,176.243080
L,breakdown,1.0,B-CORE-no-graph,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,1.0,DCGA,5,5,210.617111,12.088281,209.178600,197.597136,228.423294
L,breakdown,1.0,GA,5,5,215.204922,5.857703,214.737584,208.070844,222.976406
L,breakdown,1.0,LNS,5,5,219.403372,12.628943,217.388289,207.401888,235.957430
L,breakdown,1.0,MOEA-NSGA2,5,5,215.342534,9.047728,218.706450,203.337259,224.556855
L,breakdown,1.0,MOR,5,5,189.499626,18.298296,191.158843,170.464416,217.528578
L,breakdown,1.0,MachineRank,5,5,206.196293,11.877499,201.415838,197.761564,226.797932
L,breakdown,1.0,SA,5,5,216.274309,15.916446,220.472412,190.504845,233.868512
L,breakdown,10.0,B-CORE,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,10.0,B-CORE-no-bottleneck,5,5,166.438735,9.452381,169.065726,155.072570,176.243080
L,breakdown,10.0,B-CORE-no-graph,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,10.0,DCGA,5,5,194.508274,15.259699,185.619212,181.413368,214.328464
L,breakdown,10.0,GA,5,5,194.198439,12.543990,190.354886,182.726080,209.487524
L,breakdown,10.0,LNS,5,5,199.724151,12.734096,194.162910,187.808546,216.608489
L,breakdown,10.0,MOEA-NSGA2,5,5,192.207164,12.241077,191.752820,180.624193,212.044461
L,breakdown,10.0,MOR,5,5,189.499626,18.298296,191.158843,170.464416,217.528578
L,breakdown,10.0,MachineRank,5,5,206.196293,11.877499,201.415838,197.761564,226.797932
L,breakdown,10.0,SA,5,5,207.263684,14.891992,212.802007,186.115626,223.170460
L,breakdown,5.0,B-CORE,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,5.0,B-CORE-no-bottleneck,5,5,166.438735,9.452381,169.065726,155.072570,176.243080
L,breakdown,5.0,B-CORE-no-graph,5,5,154.552265,9.712703,149.947894,146.363584,170.287718
L,breakdown,5.0,DCGA,5,5,202.134459,10.144922,202.506669,186.328808,214.328464
L,breakdown,5.0,GA,5,5,196.412203,8.771373,192.795556,189.062687,208.865924
L,breakdown,5.0,LNS,5,5,205.814345,10.506695,207.824235,189.833519,217.524908
L,breakdown,5.0,MOEA-NSGA2,5,5,196.650042,10.267297,196.735445,186.715915,213.059970
L,breakdown,5.0,MOR,5,5,189.499626,18.298296,191.158843,170.464416,217.528578
L,breakdown,5.0,MachineRank,5,5,206.196293,11.877499,201.415838,197.761564,226.797932
L,breakdown,5.0,SA,5,5,209.142744,15.454343,214.797918,188.056098,223.170460
L,mixed,0.1,B-CORE,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,0.1,B-CORE-no-bottleneck,5,5,166.345244,8.755019,163.959725,154.906337,175.482547
L,mixed,0.1,B-CORE-no-graph,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,0.1,DCGA,5,5,221.542431,17.603719,229.479317,199.487768,240.757076
L,mixed,0.1,GA,5,5,229.585809,10.104066,227.258260,215.044302,239.979004
L,mixed,0.1,LNS,5,5,236.937471,10.610685,236.276495,223.558927,253.174008
L,mixed,0.1,MOEA-NSGA2,5,5,222.803375,11.883969,223.503288,205.107919,238.093222
L,mixed,0.1,MOR,5,5,204.856379,13.423741,207.167595,185.747423,220.109753
L,mixed,0.1,MachineRank,5,5,208.199354,13.341378,209.138758,193.578899,226.137463
L,mixed,0.1,SA,5,5,225.228330,21.512767,233.090071,193.750245,248.316280
L,mixed,0.5,B-CORE,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,0.5,B-CORE-no-bottleneck,5,5,166.345244,8.755019,163.959725,154.906337,175.482547
L,mixed,0.5,B-CORE-no-graph,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,0.5,DCGA,5,5,214.209236,17.421798,217.352556,189.334048,231.112376
L,mixed,0.5,GA,5,5,224.059959,11.361697,224.611810,206.486040,238.093222
L,mixed,0.5,LNS,5,5,224.858380,7.898650,225.482934,216.707373,236.276495
L,mixed,0.5,MOEA-NSGA2,5,5,222.803375,11.883969,223.503288,205.107919,238.093222
L,mixed,0.5,MOR,5,5,204.856379,13.423741,207.167595,185.747423,220.109753
L,mixed,0.5,MachineRank,5,5,208.199354,13.341378,209.138758,193.578899,226.137463
L,mixed,0.5,SA,5,5,223.661473,20.710432,229.176203,193.750245,248.316280
L,mixed,1.0,B-CORE,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,1.0,B-CORE-no-bottleneck,5,5,166.345244,8.755019,163.959725,154.906337,175.482547
L,mixed,1.0,B-CORE-no-graph,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,1.0,DCGA,5,5,215.499172,10.264193,219.201384,204.423638,227.987828
L,mixed,1.0,GA,5,5,222.470249,11.976369,223.503288,205.107919,238.093222
L,mixed,1.0,LNS,5,5,222.138579,9.606316,225.871421,208.488804,233.098535
L,mixed,1.0,MOEA-NSGA2,5,5,222.803375,11.883969,223.503288,205.107919,238.093222
L,mixed,1.0,MOR,5,5,204.856379,13.423741,207.167595,185.747423,220.109753
L,mixed,1.0,MachineRank,5,5,208.199354,13.341378,209.138758,193.578899,226.137463
L,mixed,1.0,SA,5,5,220.117509,19.439473,220.643110,193.750245,248.316280
L,mixed,10.0,B-CORE,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,10.0,B-CORE-no-bottleneck,5,5,166.345244,8.755019,163.959725,154.906337,175.482547
L,mixed,10.0,B-CORE-no-graph,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,10.0,DCGA,5,5,192.237438,14.848456,195.190292,172.295988,211.677665
L,mixed,10.0,GA,5,5,192.761422,4.757130,191.182834,186.690388,198.458347
L,mixed,10.0,LNS,5,5,199.506814,9.411055,196.750724,187.145548,212.044664
L,mixed,10.0,MOEA-NSGA2,5,5,195.848383,12.976491,197.689271,182.481680,212.959918
L,mixed,10.0,MOR,5,5,204.856379,13.423741,207.167595,185.747423,220.109753
L,mixed,10.0,MachineRank,5,5,208.199354,13.341378,209.138758,193.578899,226.137463
L,mixed,10.0,SA,5,5,207.722035,11.153993,207.191115,197.884232,225.059528
L,mixed,5.0,B-CORE,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,5.0,B-CORE-no-bottleneck,5,5,166.345244,8.755019,163.959725,154.906337,175.482547
L,mixed,5.0,B-CORE-no-graph,5,5,153.290501,6.436843,149.750241,147.699705,161.132153
L,mixed,5.0,DCGA,5,5,199.550697,10.269123,202.362785,187.412542,212.483842
L,mixed,5.0,GA,5,5,199.002586,16.249926,194.292540,180.388731,224.372604
L,mixed,5.0,LNS,5,5,205.559833,12.281933,202.708948,191.082068,223.166834
L,mixed,5.0,MOEA-NSGA2,5,5,200.353457,9.717123,198.805309,186.188517,211.210054
L,mixed,5.0,MOR,5,5,204.856379,13.423741,207.167595,185.747423,220.109753
L,mixed,5.0,MachineRank,5,5,208.199354,13.341378,209.138758,193.578899,226.137463
L,mixed,5.0,SA,5,5,216.572130,18.409057,216.020746,192.835846,237.471570
L,rush_job,0.1,B-CORE,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,0.1,B-CORE-no-bottleneck,5,5,167.094553,4.270706,167.056539,162.254492,173.335125
L,rush_job,0.1,B-CORE-no-graph,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,0.1,DCGA,5,5,232.765840,11.474295,229.742808,221.661392,248.263925
L,rush_job,0.1,GA,5,5,239.230215,13.623459,244.052834,215.839235,249.100589
L,rush_job,0.1,LNS,5,5,239.369105,8.211496,235.435124,233.891798,253.736055
L,rush_job,0.1,MOEA-NSGA2,5,5,212.632458,8.315984,212.262578,199.971376,221.152926
L,rush_job,0.1,MOR,5,5,213.526372,17.065316,211.776469,194.570813,232.853025
L,rush_job,0.1,MachineRank,5,5,213.318076,23.626953,206.048214,189.917220,250.283342
L,rush_job,0.1,SA,5,5,247.336636,27.887144,256.810300,201.566774,275.021944
L,rush_job,0.5,B-CORE,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,0.5,B-CORE-no-bottleneck,5,5,167.094553,4.270706,167.056539,162.254492,173.335125
L,rush_job,0.5,B-CORE-no-graph,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,0.5,DCGA,5,5,224.388503,12.407755,221.286839,209.657969,239.714186
L,rush_job,0.5,GA,5,5,216.051881,4.920273,217.081957,207.865728,221.152926
L,rush_job,0.5,LNS,5,5,225.418358,13.245453,232.036032,208.556331,238.556964
L,rush_job,0.5,MOEA-NSGA2,5,5,212.632458,8.315984,212.262578,199.971376,221.152926
L,rush_job,0.5,MOR,5,5,213.526372,17.065316,211.776469,194.570813,232.853025
L,rush_job,0.5,MachineRank,5,5,213.318076,23.626953,206.048214,189.917220,250.283342
L,rush_job,0.5,SA,5,5,236.772667,21.316805,243.435388,201.566774,254.312578
L,rush_job,1.0,B-CORE,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,1.0,B-CORE-no-bottleneck,5,5,167.094553,4.270706,167.056539,162.254492,173.335125
L,rush_job,1.0,B-CORE-no-graph,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,1.0,DCGA,5,5,216.394458,8.109859,216.947432,204.610472,226.904143
L,rush_job,1.0,GA,5,5,213.907632,6.897372,213.433578,206.862375,221.152926
L,rush_job,1.0,LNS,5,5,219.296467,8.188439,224.935458,207.671076,225.194751
L,rush_job,1.0,MOEA-NSGA2,5,5,209.163837,11.511719,210.800413,194.919475,221.152926
L,rush_job,1.0,MOR,5,5,213.526372,17.065316,211.776469,194.570813,232.853025
L,rush_job,1.0,MachineRank,5,5,213.318076,23.626953,206.048214,189.917220,250.283342
L,rush_job,1.0,SA,5,5,233.181589,20.619479,243.435388,201.566774,250.724492
L,rush_job,10.0,B-CORE,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,10.0,B-CORE-no-bottleneck,5,5,167.094553,4.270706,167.056539,162.254492,173.335125
L,rush_job,10.0,B-CORE-no-graph,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,10.0,DCGA,5,5,193.209219,8.843498,196.579877,183.259842,203.648988
L,rush_job,10.0,GA,5,5,191.996568,5.704880,192.172593,183.345664,198.252706
L,rush_job,10.0,LNS,5,5,201.026839,13.159622,205.398496,186.346324,217.665347
L,rush_job,10.0,MOEA-NSGA2,5,5,197.113815,9.791082,195.505391,182.914108,208.647237
L,rush_job,10.0,MOR,5,5,213.526372,17.065316,211.776469,194.570813,232.853025
L,rush_job,10.0,MachineRank,5,5,213.318076,23.626953,206.048214,189.917220,250.283342
L,rush_job,10.0,SA,5,5,211.379793,10.151429,214.412999,194.792893,220.312042
L,rush_job,5.0,B-CORE,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,5.0,B-CORE-no-bottleneck,5,5,167.094553,4.270706,167.056539,162.254492,173.335125
L,rush_job,5.0,B-CORE-no-graph,5,5,156.794004,6.588074,154.354225,149.108961,166.055345
L,rush_job,5.0,DCGA,5,5,192.218615,3.560579,192.187497,187.065484,196.998016
L,rush_job,5.0,GA,5,5,200.412662,6.652257,198.358406,194.494613,211.810182
