scale,event_type,budget_sec,algorithm,mean_makespan,mean_p95_latency,mean_objective
L,breakdown,0.1,B-CORE,154.552265,0.000514,154.552265
L,breakdown,0.1,B-CORE-no-bottleneck,166.438735,0.000509,166.438735
L,breakdown,0.1,B-CORE-no-graph,154.552265,0.000567,154.552265
L,breakdown,0.1,DCGA,230.343909,0.171599,230.343909
L,breakdown,0.1,GA,226.607474,0.172316,226.607474
L,breakdown,0.1,LNS,235.084570,0.175122,235.084570
L,breakdown,0.1,MOEA-NSGA2,216.469276,1.114345,216.469276
L,breakdown,0.1,MOR,189.499626,0.000020,189.499626
L,breakdown,0.1,MachineRank,206.196293,0.000280,206.196293
L,breakdown,0.1,SA,226.493592,0.169505,226.493592
L,breakdown,0.5,B-CORE,154.552265,0.000501,154.552265
L,breakdown,0.5,B-CORE-no-bottleneck,166.438735,0.000507,166.438735
L,breakdown,0.5,B-CORE-no-graph,154.552265,0.000474,154.552265
L,breakdown,0.5,DCGA,216.770029,0.557341,216.770029
L,breakdown,0.5,GA,212.066645,0.541012,212.066645
L,breakdown,0.5,LNS,224.974419,0.559495,224.974419
L,breakdown,0.5,MOEA-NSGA2,216.469276,0.985954,216.469276
L,breakdown,0.5,MOR,189.499626,0.000016,189.499626
L,breakdown,0.5,MachineRank,206.196293,0.000206,206.196293
L,breakdown,0.5,SA,218.448731,0.575994,218.448731
L,breakdown,1.0,B-CORE,154.552265,0.000497,154.552265
L,breakdown,1.0,B-CORE-no-bottleneck,166.438735,0.000565,166.438735
L,breakdown,1.0,B-CORE-no-graph,154.552265,0.000470,154.552265
L,breakdown,1.0,DCGA,210.617111,1.066857,210.617111
L,breakdown,1.0,GA,215.204922,1.077672,215.204922
L,breakdown,1.0,LNS,219.403372,1.071778,219.403372
L,breakdown,1.0,MOEA-NSGA2,215.342534,1.089686,215.342534
L,breakdown,1.0,MOR,189.499626,0.000018,189.499626
L,breakdown,1.0,MachineRank,206.196293,0.000204,206.196293
L,breakdown,1.0,SA,216.274309,1.090773,216.274309
L,breakdown,10.0,B-CORE,154.552265,0.000474,154.552265
L,breakdown,10.0,B-CORE-no-bottleneck,166.438735,0.000459,166.438735
L,breakdown,10.0,B-CORE-no-graph,154.552265,0.000485,154.552265
L,breakdown,10.0,DCGA,194.508274,10.057761,194.508274
L,breakdown,10.0,GA,194.198439,10.048621,194.198439
L,breakdown,10.0,LNS,199.724151,10.057914,199.724151
L,breakdown,10.0,MOEA-NSGA2,192.207164,10.048598,192.207164
L,breakdown,10.0,MOR,189.499626,0.000016,189.499626
L,breakdown,10.0,MachineRank,206.196293,0.000233,206.196293
L,breakdown,10.0,SA,207.263684,10.065692,207.263684
L,breakdown,5.0,B-CORE,154.552265,0.000491,154.552265
L,breakdown,5.0,B-CORE-no-bottleneck,166.438735,0.000430,166.438735
L,breakdown,5.0,B-CORE-no-graph,154.552265,0.000474,154.552265
L,breakdown,5.0,DCGA,202.134459,5.055957,202.134459
L,breakdown,5.0,GA,196.412203,5.058131,196.412203
L,breakdown,5.0,LNS,205.814345,5.045116,205.814345
L,breakdown,5.0,MOEA-NSGA2,196.650042,5.043876,196.650042
L,breakdown,5.0,MOR,189.499626,0.000024,189.499626
L,breakdown,5.0,MachineRank,206.196293,0.000218,206.196293
L,breakdown,5.0,SA,209.142744,5.055355,209.142744
L,mixed,0.1,B-CORE,153.290501,0.000470,153.290501
L,mixed,0.1,B-CORE-no-bottleneck,166.345244,0.000506,166.345244
L,mixed,0.1,B-CORE-no-graph,153.290501,0.000494,153.290501
L,mixed,0.1,DCGA,221.542431,0.170652,221.542431
L,mixed,0.1,GA,229.585809,0.170098,229.585809
L,mixed,0.1,LNS,236.937471,0.170857,236.937471
L,mixed,0.1,MOEA-NSGA2,222.803375,1.013432,222.803375
L,mixed,0.1,MOR,204.856379,0.000020,204.856379
L,mixed,0.1,MachineRank,208.199354,0.000234,208.199354
L,mixed,0.1,SA,225.228330,0.169414,225.228330
L,mixed,0.5,B-CORE,153.290501,0.000531,153.290501
L,mixed,0.5,B-CORE-no-bottleneck,166.345244,0.000530,166.345244
L,mixed,0.5,B-CORE-no-graph,153.290501,0.000491,153.290501
L,mixed,0.5,DCGA,214.209236,0.565698,214.209236
L,mixed,0.5,GA,224.059959,0.553874,224.059959
L,mixed,0.5,LNS,224.858380,0.558541,224.858380
L,mixed,0.5,MOEA-NSGA2,222.803375,1.011136,222.803375
L,mixed,0.5,MOR,204.856379,0.000021,204.856379
L,mixed,0.5,MachineRank,208.199354,0.000249,208.199354
L,mixed,0.5,SA,223.661473,0.563521,223.661473
L,mixed,1.0,B-CORE,153.290501,0.000497,153.290501
L,mixed,1.0,B-CORE-no-bottleneck,166.345244,0.000527,166.345244
L,mixed,1.0,B-CORE-no-graph,153.290501,0.000494,153.290501
L,mixed,1.0,DCGA,215.499172,1.066375,215.499172
L,mixed,1.0,GA,222.470249,1.056027,222.470249
L,mixed,1.0,LNS,222.138579,1.060894,222.138579
L,mixed,1.0,MOEA-NSGA2,222.803375,1.069931,222.803375
L,mixed,1.0,MOR,204.856379,0.000023,204.856379
L,mixed,1.0,MachineRank,208.199354,0.000245,208.199354
L,mixed,1.0,SA,220.117509,1.064071,220.117509
L,mixed,10.0,B-CORE,153.290501,0.000525,153.290501
L,mixed,10.0,B-CORE-no-bottleneck,166.345244,0.000512,166.345244
L,mixed,10.0,B-CORE-no-graph,153.290501,0.000513,153.290501
L,mixed,10.0,DCGA,192.237438,10.055941,192.237438
L,mixed,10.0,GA,192.761422,10.054264,192.761422
L,mixed,10.0,LNS,199.506814,10.054701,199.506814
L,mixed,10.0,MOEA-NSGA2,195.848383,10.062693,195.848383
L,mixed,10.0,MOR,204.856379,0.000018,204.856379
L,mixed,10.0,MachineRank,208.199354,0.000270,208.199354
L,mixed,10.0,SA,207.722035,10.065310,207.722035
L,mixed,5.0,B-CORE,153.290501,0.000485,153.290501
L,mixed,5.0,B-CORE-no-bottleneck,166.345244,0.000534,166.345244
L,mixed,5.0,B-CORE-no-graph,153.290501,0.000496,153.290501
L,mixed,5.0,DCGA,199.550697,5.058559,199.550697
L,mixed,5.0,GA,199.002586,5.063767,199.002586
L,mixed,5.0,LNS,205.559833,5.053919,205.559833
L,mixed,5.0,MOEA-NSGA2,200.353457,5.067915,200.353457
L,mixed,5.0,MOR,204.856379,0.000019,204.856379
L,mixed,5.0,MachineRank,208.199354,0.000252,208.199354
L,mixed,5.0,SA,216.572130,5.045622,216.572130
L,rush_job,0.1,B-CORE,156.794004,0.000556,156.794004
L,rush_job,0.1,B-CORE-no-bottleneck,167.094553,0.000711,167.094553
L,rush_job,0.1,B-CORE-no-graph,156.794004,0.000509,156.794004
L,rush_job,0.1,DCGA,232.765840,0.158718,232.765840
L,rush_job,0.1,GA,239.230215,0.156681,239.230215
L,rush_job,0.1,LNS,239.369105,0.156220,239.369105
L,rush_job,0.1,MOEA-NSGA2,212.632458,0.956961,212.632458
L,rush_job,0.1,MOR,213.526372,0.000020,213.526372
L,rush_job,0.1,MachineRank,213.318076,0.000274,213.318076
L,rush_job,0.1,SA,247.336636,0.155819,247.336636
L,rush_job,0.5,B-CORE,156.794004,0.000518,156.794004
L,rush_job,0.5,B-CORE-no-bottleneck,167.094553,0.000506,167.094553
L,rush_job,0.5,B-CORE-no-graph,156.794004,0.000447,156.794004
L,rush_job,0.5,DCGA,224.388503,0.565426,224.388503
L,rush_job,0.5,GA,216.051881,0.555892,216.051881
