weight_seed,n_rows,mean_objective,std_objective,coeff_json,component_json,rank,percentile
901227,12,62.812809,11.329521,"{""agv_remaining_ops"": -0.09659527868392827, ""agv_transport"": 0.9759301949367033, ""agv_wait"": 0.3342923852919811, ""machine_alt_gap"": 0.1918967878878333, ""machine_delay"": 0.29842977801911913, ""machine_pressure"": 0.512898984713562, ""machine_proc"": 0.0, ""machine_queue"": 0.5236032984045588, ""machine_remaining_ops"": -0.2575830866360669, ""machine_remaining_work"": -0.11824247902898431, ""machine_transport"": 0.17554373971880047}","{""bottleneck"": 1.3138428987485815, ""disturbance"": 0.5161003555211564, ""job_urgency"": 1.2513453867215074, ""safety"": 1.0446927038793556, ""transport"": 0.8150790239338124}",1,0.050000
900408,12,62.907640,12.266091,"{""agv_remaining_ops"": -0.14622709623669328, ""agv_transport"": 0.9530623084437201, ""agv_wait"": 0.3112180611312524, ""machine_alt_gap"": 0.2334144052324806, ""machine_delay"": 0.3007564409859658, ""machine_pressure"": 0.25202279229228003, ""machine_proc"": 0.0, ""machine_queue"": 0.5217745666544279, ""machine_remaining_ops"": -0.20365562813328786, ""machine_remaining_work"": -0.11385307073889346, ""machine_transport"": 0.17765664091878863}","{""bottleneck"": 1.436915763239818, ""disturbance"": 0.8114210730169393, ""job_urgency"": 1.281057695142452, ""safety"": 1.414887205585912, ""transport"": 1.3024896885647543}",2,0.100000
901793,12,62.952261,13.551568,"{""agv_remaining_ops"": -0.13229698078955568, ""agv_transport"": 0.7132272017855519, ""agv_wait"": 0.23619807840379695, ""machine_alt_gap"": 0.2169627503709808, ""machine_delay"": 0.18110125576796526, ""machine_pressure"": 0.6421530466596919, ""machine_proc"": 0.0, ""machine_queue"": 0.4135282909596388, ""machine_remaining_ops"": -0.13690907859832172, ""machine_remaining_work"": -0.1049105495580151, ""machine_transport"": 0.1766822866989442}","{""bottleneck"": 0.7026703312484855, ""disturbance"": 0.7819059051653201, ""job_urgency"": 1.0192963677730416, ""safety"": 0.5518741575720745, ""transport"": 0.8495409986338929}",3,0.150000
900269,12,62.957871,12.825491,"{""agv_remaining_ops"": -0.15036263680019554, ""agv_transport"": 0.8657244736357379, ""agv_wait"": 0.29538301222727303, ""machine_alt_gap"": 0.21186987891621917, ""machine_delay"": 0.18584165396997054, ""machine_pressure"": 0.44916496320574845, ""machine_proc"": 0.0, ""machine_queue"": 0.6474472206725755, ""machine_remaining_ops"": -0.3247255852490442, ""machine_remaining_work"": -0.10629414049970105, ""machine_transport"": 0.1388768579856842}","{""bottleneck"": 1.0846589688885007, ""disturbance"": 0.8321456609344797, ""job_urgency"": 1.322302087540159, ""safety"": 1.4411670076079148, ""transport"": 1.4334815858277912}",4,0.200000
901605,12,62.968342,12.125420,"{""agv_remaining_ops"": -0.167444814279411, ""agv_transport"": 0.6652396365477099, ""agv_wait"": 0.1529254460225729, ""machine_alt_gap"": 0.1864403423293227, ""machine_delay"": 0.4077870117687129, ""machine_pressure"": 0.5470446145446893, ""machine_proc"": 0.0, ""machine_queue"": 0.6579540896346805, ""machine_remaining_ops"": -0.14052505625818362, ""machine_remaining_work"": -0.09882568891161891, ""machine_transport"": 0.10381832664749029}","{""bottleneck"": 1.453845779434599, ""disturbance"": 1.1547388465680184, ""job_urgency"": 0.8771201136345306, ""safety"": 1.0076028249274664, ""transport"": 1.3889592424559205}",5,0.250000
900117,12,63.037265,12.308362,"{""agv_remaining_ops"": -0.20258575301230727, ""agv_transport"": 0.5719157268843813, ""agv_wait"": 0.3496704990391527, ""machine_alt_gap"": 0.3144495475225983, ""machine_delay"": 0.4213359646321095, ""machine_pressure"": 0.7005572692114052, ""machine_proc"": 0.0, ""machine_queue"": 0.8109609951963394, ""machine_remaining_ops"": -0.14631946826785755, ""machine_remaining_work"": -0.10953941234123703, ""machine_transport"": 0.1715870756425913}","{""bottleneck"": 1.4864400951180554, ""disturbance"": 0.6264674138438817, ""job_urgency"": 1.0641218622109068, ""safety"": 0.513338825959318, ""transport"": 1.48996370107812}",6,0.300000
900984,12,63.044034,11.688562,"{""agv_remaining_ops"": -0.18975745064929442, ""agv_transport"": 0.7085311771511305, ""agv_wait"": 0.20183931594727733, ""machine_alt_gap"": 0.1848573352587717, ""machine_delay"": 0.29820534359166506, ""machine_pressure"": 0.3335357515375547, ""machine_proc"": 0.0, ""machine_queue"": 0.495131928415359, ""machine_remaining_ops"": -0.13639998851306676, ""machine_remaining_work"": -0.11227730062971869, ""machine_transport"": 0.15981988362046007}","{""bottleneck"": 0.9755691676930889, ""disturbance"": 0.9244848950797503, ""job_urgency"": 1.0804033542518008, ""safety"": 1.1100636356620959, ""transport"": 1.1893100326046881}",7,0.350000
901810,12,63.051013,11.611306,"{""agv_remaining_ops"": -0.15835332894501772, ""agv_transport"": 1.3942477297825282, ""agv_wait"": 0.3599594030687947, ""machine_alt_gap"": 0.2683534138632597, ""machine_delay"": 0.23240103181061156, ""machine_pressure"": 0.5567244641617545, ""machine_proc"": 0.0, ""machine_queue"": 0.34264961236722324, ""machine_remaining_ops"": -0.1320217454797926, ""machine_remaining_work"": -0.05058032569739331, ""machine_transport"": 0.14158624734204564}","{""bottleneck"": 1.4529808939766635, ""disturbance"": 1.258740098517507, ""job_urgency"": 1.3065796701461898, ""safety"": 1.3960739837780662, ""transport"": 1.178781460247734}",8,0.400000
900547,12,63.080180,12.296764,"{""agv_remaining_ops"": -0.20696445513905212, ""agv_transport"": 1.0806668398737607, ""agv_wait"": 0.22856458062872473, ""machine_alt_gap"": 0.30234052068876766, ""machine_delay"": 0.17715485080274934, ""machine_pressure"": 0.38156503666495706, ""machine_proc"": 0.0, ""machine_queue"": 0.29548881743830485, ""machine_remaining_ops"": -0.11568053994014213, ""machine_remaining_work"": -0.09497777396057633, ""machine_transport"": 0.1716927327197051}","{""bottleneck"": 1.126137839470708, ""disturbance"": 1.342612400638643, ""job_urgency"": 1.0697687376867806, ""safety"": 1.308445177704258, ""transport"": 1.4601208940430674}",9,0.450000
900824,12,63.106858,12.535093,"{""agv_remaining_ops"": -0.13603899699721908, ""agv_transport"": 0.691506761868681, ""agv_wait"": 0.3128664400454591, ""machine_alt_gap"": 0.22128350495180915, ""machine_delay"": 0.2921699339293265, ""machine_pressure"": 0.6609112441286336, ""machine_proc"": 0.0, ""machine_queue"": 0.3525994124053594, ""machine_remaining_ops"": -0.13236151254033635, ""machine_remaining_work"": -0.054190525728345616, ""machine_transport"": 0.1559658338090453}","{""bottleneck"": 1.278949521402536, ""disturbance"": 1.1496928223129308, ""job_urgency"": 0.6963162795348213, ""safety"": 0.8909413325215041, ""transport"": 1.1060484670040123}",10,0.500000
